#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:calsim" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:calsim" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:calsim" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.calsim" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:calsim" name="distribution" x="@birthRate.t:calsim">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.17" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.18" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:calsim" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:calsim" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Dirichlet id="Dirichlet" name="distr">
#                <parameter dimension="4" id="RealParameter" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">10.0 10.0 10.0 10.0</parameter>
#            </Dirichlet>
#        </prior>
#        <prior id="GammaShapePrior.s:calsim" name="distribution">
#            <parameter id="gammaShape.s:calsim" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:calsim" name="distribution">
#            <parameter id="kappa.s:calsim" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:calsim" name="distribution">
#            <parameter id="ucldStdev.c:calsim" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.10" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.11" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@calsim" id="treeLikelihood.calsim" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:calsim">
#            <siteModel gammaCategoryCount="8" id="SiteModel.s:calsim" shape="@gammaShape.s:calsim" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:calsim" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <substModel id="hky.s:calsim" kappa="@kappa.s:calsim" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:calsim" id="estimatedFreqs.s:calsim" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:calsim" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:calsim">
#                <distr id="ApproxLogNormal" spec="beast.math.distributions.PiecewiseLinearDistribution">
#                    <LogNormal S="@ucldStdev.c:calsim" id="LogNormalDistributionModel.c:calsim" meanInRealSpace="true" name="distr">
#                        <parameter estimate="false" id="RealParameter.9" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                    </LogNormal>
#                </distr>
#                <parameter dimension="22" id="rates.c:calsim" lower="0.0" name="rateQuantiles" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                <parameter estimate="false" id="ucldMean.c:calsim" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.calsim	TreeHeight	gammaShape	kappa	ucldStdev	TipRates.estimated.taxon.1	TipRates.estimated.taxon.2	TipRates.estimated.taxon.3	TipRates.estimated.taxon.4	TipRates.estimated.taxon.5	TipRates.estimated.taxon.6	TipRates.estimated.taxon.7	TipRates.estimated.taxon.8	TipRates.estimated.taxon.9	TipRates.estimated.taxon.10	TipRates.estimated.taxon.11	TipRates.estimated.taxon.12	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-1163.751402259419	-1161.7729242045789	-1.9784780548400185	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0754610363928718	1.0297445663303124	1.0199448669538917	0.8436336011537345	0.8663441796491403	0.946128545850502	0.9152069472382677	1.0059196266183066	1.0363079219802993	0.9966655769187357	1.013889487756064	1.0891882280094187	1.0	0.25	0.25	0.25	0.25
10000	-1163.770740197147	-1161.7729242045789	-1.9978159925680845	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.05630119846286	0.9844510854980234	1.1033004041774666	0.8415700385290225	0.8509098556597191	0.8768613869092141	0.8793273849911454	1.0881289436090626	0.9956807450275028	0.9236985438125928	1.0086299767018438	1.1042073279883682	1.0	0.25	0.25	0.25	0.25
20000	-1163.6828818285383	-1161.7729242045789	-1.9099576239594158	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.2191277728426178	1.0376252387836913	0.9124532408027101	0.8633328578381588	0.9820757930880458	0.8956186633946435	0.9448901831682683	0.8999061155493013	1.0699188693590251	0.9434577317916104	1.0758082078839322	1.1787458327941367	1.0	0.25	0.25	0.25	0.25
30000	-1163.7007722897358	-1161.7729242045789	-1.927848085156828	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.1979776362043302	1.0221979717061027	0.9881240162793987	0.8482571871048908	0.9650381718676428	1.0311435874247346	0.8540410207633096	0.974536343789735	0.9670484672170465	1.0862216587312614	1.0485075708762457	1.177865146912053	1.0	0.25	0.25	0.25	0.25
40000	-1163.8235201579155	-1161.7729242045789	-2.0505959533366154	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.1546033856646434	0.9266659133337579	0.926853519267887	0.8028307502518974	0.9300977805097775	0.8989263446549958	0.9044366427471204	0.9141083760892773	1.0241124814845763	0.9469420913599496	0.9728771028601749	1.1508418037122419	1.0	0.25	0.25	0.25	0.25
50000	-1163.7493044675175	-1161.7729242045789	-1.97638026293861	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0469740888196937	1.0226209674446536	1.0123685104484643	0.8333104625443112	0.8433963457519964	0.8826775107203542	0.9689069096181696	0.9984474524312563	1.0971135098227693	0.9298253332632279	1.0246496352316934	1.0522122670906568	1.0	0.25	0.25	0.25	0.25
60000	-1163.764620165735	-1161.7729242045789	-1.9916959611561402	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0456888292012334	0.9450792171275774	1.0448678954480477	0.8015184727424564	0.8423609970484062	1.0247873846379512	1.0122959628092212	1.0304999390737362	1.1462438400555062	1.0795259422292223	1.0164519210950427	1.0473323905276986	1.0	0.25	0.25	0.25	0.25
70000	-1163.8124342473452	-1161.7729242045789	-2.039510042766315	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0691641340826654	0.9469245204803094	0.9761918520944052	0.7918740510804138	0.8612716716905401	1.0612326338362597	0.8824424198834916	0.9627682585425752	0.9992079640307278	1.1179178980342626	0.985771287939812	1.083952152157682	1.0	0.25	0.25	0.25	0.25
80000	-1163.7444135945832	-1161.7729242045789	-1.9714893900043815	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0899355665652044	0.9707701181163444	1.0176887468954885	0.8216744146691806	0.8780042254747098	0.8861498031170582	0.8696196401218752	1.0036945304192015	0.9846884629617397	0.9334830965977873	1.0435674764012393	1.0730706568076258	1.0	0.25	0.25	0.25	0.25
90000	-1163.8120086928004	-1161.7729242045789	-2.0390844882216426	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0360478823261945	0.9217499668823714	0.9691609816349198	0.8115433544981338	0.8345946736495495	0.9488551538419293	0.9955766220155055	0.9558340694343644	1.1273121816288532	0.999537825450637	0.9881282676563826	1.0548642651049918	1.0	0.25	0.25	0.25	0.25
100000	-1163.6835326182272	-1161.7729242045789	-1.9106084136483934	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0894027369921542	0.9891992979449169	1.099037841915906	0.8758466866981118	0.8775750013710591	0.9385512731065068	0.9899903333108688	1.0839249957511827	1.120986710371721	0.9886835675564938	1.0691758837285792	1.0824003529557191	1.0	0.25	0.25	0.25	0.25
110000	-1163.8056846363431	-1161.7729242045789	-2.0327604317642214	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.085940573845985	0.9695097795946733	0.9613597358277568	0.798240833493608	0.8747860347891182	0.8321240686842236	1.0310034574170441	0.9481400983936205	1.1674267265283358	0.8765716018404273	1.0148547385535152	1.0818084840084268	1.0	0.25	0.25	0.25	0.25
120000	-1163.7704623948512	-1161.7729242045789	-1.9975381902723102	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	0.9140239020995018	0.9887928759782144	0.8839977456506982	0.8265447632358743	0.7362975141340478	0.9309915086834246	0.9601617860849996	0.8718419113104613	1.0872112239807905	0.980720001714256	1.0119031617782932	0.9472641486523398	1.0	0.25	0.25	0.25	0.25
130000	-1163.7601721118206	-1161.7729242045789	-1.9872479072415767	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0208309649089775	1.0015980715707218	0.9763882628543045	0.8146994171999967	0.8223365932630914	0.9275235003202438	0.8816815029535341	0.9629619684622608	0.9983463619145481	0.9770667512429455	1.0014101271230307	1.0013580950582048	1.0	0.25	0.25	0.25	0.25
140000	-1163.7200720358412	-1161.7729242045789	-1.9471478312623638	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	0.9875138256391857	0.980918342002333	0.9585458561712767	0.841422284855679	0.7954977690637923	0.953115726130025	1.0372286242445299	0.945364912336898	1.174475612814043	1.0040259742927176	1.064501556920474	1.0240564745292662	1.0	0.25	0.25	0.25	0.25
150000	-1163.7618549431197	-1161.7729242045789	-1.9889307385409427	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	0.9322174252646366	0.9698079282114492	0.993199325082352	0.8412372630168848	0.7509534173867514	0.9291595192776734	0.8871231881147618	0.9795418621284728	1.0045080955623538	0.9787901574177277	1.0344103903290973	0.9746320207954197	1.0	0.25	0.25	0.25	0.25
160000	-1163.709617671373	-1161.7729242045789	-1.9366934667941533	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	0.9711061495143608	1.039100098088267	1.0121660027232915	0.8643111048800859	0.7822804657573085	0.9288888804111235	0.9057027013280251	0.9982477293855375	1.0255460660318132	0.9785050624977512	1.0750427752144947	1.0073973906649016	1.0	0.25	0.25	0.25	0.25
170000	-1163.7965027985092	-1161.7729242045789	-2.0235785939303286	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0590586207982258	0.9907109820927579	1.0303593724521722	0.8086006276690078	0.8531311139947396	0.9443560585452843	1.0330192735398107	1.0161909224713177	1.1697092771837723	0.9947984130007006	0.9670035708815274	1.0433450900707473	1.0	0.25	0.25	0.25	0.25
180000	-1163.7511975888174	-1161.7729242045789	-1.9782733842384068	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.0107349833054553	1.007264879627938	1.0306811312183715	0.8309574612894934	0.8142037138708329	0.8738731981416057	0.8675372342823682	1.0165082567395152	0.982330511380657	0.9205507422849133	1.026783253848682	1.0338077200442444	1.0	0.25	0.25	0.25	0.25
190000	-1163.671601865095	-1161.7729242045789	-1.8986776605161049	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	0.9986180042356827	1.0754859237049967	0.957706037773239	0.8571198751280518	0.8044428076763728	1.0781792610133694	0.9296731584865567	0.9445366422639244	1.0526883148115393	1.135769721685897	1.0519305005106607	0.9804645732798891	1.0	0.25	0.25	0.25	0.25
200000	-1163.752272715317	-1161.7729242045789	-1.979348510738175	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.125165905623695	0.9501212539417245	1.0488785979432074	0.8191021472767153	0.9063842394013505	0.8784479955643005	0.9024812067700708	1.0344554904835463	1.0218983005279567	0.9253699004559394	1.052182284045608	1.090954096132842	1.0	0.25	0.25	0.25	0.25
210000	-1163.7566031809592	-1161.7729242045789	-1.983678976380262	-1161.7729242045789	1.1390006535804762	1.0	2.0	0.1	1.1145959216673547	0.9890695811970565	1.0608299106263068	0.8315220973387851	0.8978695245305319	0.9742914441810554	0.988358012847465	1.0462424609182195	1.1191383998529465	1.0263327838066685	1.0156805520723406	1.020285845350879	1.0	0.25	0.25	0.25	0.25
