batch,dataset,setting,date,status
2,Sauquet_2011,cat,Thu Jul  2 17:06:42 NZST 2020,start
1,Sauquet_2011,real_06,Thu Jul  2 17:18:38 NZST 2020,start
4,Sauquet_2011,cat,Thu Jul  2 17:21:42 NZST 2020,start
1,Sauquet_2011,real_06,Thu Jul  2 19:53:38 NZST 2020,finish
2,Sauquet_2011,cat,Thu Jul  2 20:31:12 NZST 2020,finish
4,Sauquet_2011,cat,Thu Jul  2 20:46:22 NZST 2020,finish
2,Sauquet_2011,real,Fri Jul  3 00:27:20 NZST 2020,start
2,Sauquet_2011,real,Fri Jul  3 04:12:23 NZST 2020,finish
1,Sauquet_2011,cat,Fri Jul  3 04:23:55 NZST 2020,start
3,Sauquet_2011,real_06,Fri Jul  3 05:31:04 NZST 2020,start
5,Sauquet_2011,real,Fri Jul  3 05:38:02 NZST 2020,start
1,Sauquet_2011,cat,Fri Jul  3 07:47:12 NZST 2020,finish
3,Sauquet_2011,real_06,Fri Jul  3 08:03:27 NZST 2020,finish
5,Sauquet_2011,real,Fri Jul  3 09:23:09 NZST 2020,finish
4,Sauquet_2011,real,Fri Jul  3 13:05:49 NZST 2020,start
5,Sauquet_2011,cat,Fri Jul  3 13:18:30 NZST 2020,start
3,Sauquet_2011,real,Fri Jul  3 16:10:08 NZST 2020,start
2,Sauquet_2011,real_06,Fri Jul  3 16:38:20 NZST 2020,start
5,Sauquet_2011,cat,Fri Jul  3 16:43:13 NZST 2020,finish
5,Sauquet_2011,real_06,Fri Jul  3 16:43:13 NZST 2020,start
4,Sauquet_2011,real,Fri Jul  3 16:51:10 NZST 2020,finish
2,Sauquet_2011,real_06,Fri Jul  3 19:13:39 NZST 2020,finish
5,Sauquet_2011,real_06,Fri Jul  3 19:16:58 NZST 2020,finish
1,Sauquet_2011,real,Fri Jul  3 19:38:31 NZST 2020,start
3,Sauquet_2011,real,Fri Jul  3 19:54:27 NZST 2020,finish
3,Sauquet_2011,cat,Fri Jul  3 19:54:27 NZST 2020,start
4,Sauquet_2011,real_06,Fri Jul  3 20:53:45 NZST 2020,start
3,Sauquet_2011,cat,Fri Jul  3 23:18:56 NZST 2020,finish
3,Moyle_2016,real,Fri Jul  3 23:18:56 NZST 2020,start
2,Moyle_2016,real_06,Fri Jul  3 23:21:31 NZST 2020,start
1,Sauquet_2011,real,Fri Jul  3 23:23:34 NZST 2020,finish
4,Sauquet_2011,real_06,Fri Jul  3 23:29:10 NZST 2020,finish
4,Moyle_2016,cat,Fri Jul  3 23:29:10 NZST 2020,start
2,Moyle_2016,real_06,Sat Jul  4 01:41:28 NZST 2020,finish
4,Moyle_2016,cat,Sat Jul  4 03:35:07 NZST 2020,finish
